ds,real_price,predicted_price,acierto_direccion,acierto_precio
2025-01-07,80.620002746582,84.76406566651015,1,0
2025-01-08,80.6800003051758,81.99795202676243,1,0
2025-01-10,76.8300018310547,80.60073106723402,1,0
2025-01-13,76.0299987792969,78.25413819158432,0,0
2025-01-14,75.7600021362305,76.73850153171918,0,0
2025-01-15,80.879997253418,75.96894973427943,1,0
2025-01-16,79.2300033569336,79.68900577044839,1,0
2025-01-17,83.1399993896484,79.80480371665874,1,0
2025-01-21,84.5199966430664,83.09910597149988,0,0
2025-01-22,87.8000030517578,84.77991902944693,1,0
2025-01-23,88.3399963378906,87.42134300898813,0,0
2025-01-24,86.75,88.2876863769518,1,0
2025-01-27,79.1399993896484,87.69743408456007,0,0
2025-01-28,82.6500015258789,80.60454416409883,1,0
2025-01-29,82.1399993896484,82.64035082142652,1,0
2025-01-30,83.1699981689453,82.51592766276974,1,0
2025-01-31,82.7200012207031,83.046817066012,1,0
2025-02-03,80.7200012207031,83.22325862748092,0,0
2025-02-04,83.6500015258789,81.71024468260967,1,0
2025-02-05,84.7399978637695,83.53471296407594,0,0
2025-02-06,86.0100021362305,84.54354227803358,0,0
2025-02-07,82.7300033569336,86.00757708819692,1,0
2025-02-10,85.6399993896484,83.94399801959018,1,0
2025-02-11,85.0299987792969,85.87961351561924,0,0
2025-02-12,85.1999969482422,85.66882299544132,1,0
2025-02-13,88.7900009155273,85.39497636287236,1,0
2025-02-14,89.8300018310547,88.93783163160242,1,0
2025-02-18,90.3899993896484,89.7505718314184,0,0
2025-02-19,90.4000015258789,90.16754734971606,0,0
2025-02-20,89.3000030517578,90.38702737373953,1,0
2025-02-21,83.7099990844727,89.72924201369227,0,0
2025-02-24,80.6999969482422,84.9543462257491,0,0
2025-02-25,77.620002746582,80.76023417470704,0,0
2025-02-26,78.120002746582,79.28516459098583,1,0
2025-02-27,71.6399993896484,78.50808606774073,0,0
2025-02-28,74.9199981689453,73.25382881427363,1,0
2025-03-03,70.0800018310547,75.25032895099179,0,0
2025-03-04,69.3099975585938,71.31272376656996,0,0
2025-03-05,72.0100021362305,70.63898793465121,1,0
2025-03-06,66.0400009155273,71.81429293575495,1,0
2025-03-07,67.4100036621094,66.86655082923015,1,0
2025-03-10,59.810001373291,68.10295778281544,0,0
2025-03-11,59.1100006103516,61.743032512954684,0,0
2025-03-12,61.1300010681152,60.75767504400911,1,0
2025-03-13,57.7900009155273,60.97645749845098,1,0
2025-03-14,61.8899993896484,59.32115284059672,1,0
2025-03-17,63.0900001525879,61.46991053304112,0,0
2025-03-18,59.9099998474121,63.054506903492,1,0
2025-03-19,62.2400016784668,61.43177004127963,1,0
2025-03-20,61.5999984741211,62.36586495675656,0,0
2025-03-21,62.1800003051758,62.24860955198664,1,0
2025-03-24,66.129997253418,62.77126446495233,1,0
2025-03-25,67.3099975585938,65.8064720521679,0,0
2025-03-26,63.3800010681152,67.9627763730314,0,0
2025-03-27,62.2999992370605,65.4292124886639,0,0
2025-03-28,57.3400001525879,63.398004619914474,0,0
2025-03-31,57.2999992370605,57.24349741427293,1,0
2025-04-01,58.6199989318848,58.365992877708905,1,0
2025-04-02,59.9300003051758,59.23732167605136,1,0
2025-04-03,50.2999992370605,59.90820184687524,1,0
2025-04-04,41.0900001525879,52.14870046929726,0,0
2025-04-07,41.25,43.30280941218612,1,0
2025-04-08,38.9000015258789,42.8759872754419,0,0
2025-04-09,52.6100006103516,39.935470381398844,1,0
2025-04-10,46.1399993896484,47.92140679100433,1,0
2025-04-11,48.5800018310547,46.76631603807902,1,0
2025-04-14,49.5999984741211,48.76849866286626,1,0
2025-04-15,49.7900009155273,49.50579357095159,0,0
2025-04-16,45.2900009155273,50.26044597104219,0,0
2025-04-17,45.1599998474121,45.96900167048,0,0
2025-04-21,41.8600006103516,45.97808142525701,0,0
2025-04-22,45.060001373291,42.38243660715806,1,0
2025-04-23,48.0499992370605,45.01079219607503,0,0
2025-04-24,52.1399993896484,48.153272943100355,1,0
2025-04-25,53.8600006103516,51.959066259214076,0,0
2025-04-28,53.8199996948242,54.11048442394898,0,0
2025-04-29,54.8699989318848,54.364026929328325,1,0
2025-04-30,54.8800010681152,55.225761378018234,1,0
2025-05-01,56.7700004577637,55.32240522994131,1,0
2025-05-02,59.4300003051758,56.5388577558528,0,0
2025-05-05,58.4000015258789,58.96956358153985,1,0
2025-05-06,56.7400016784668,59.1295554479693,0,0
2025-05-07,57.4000015258789,57.929376635168026,1,0
2025-05-08,59.1100006103516,57.55970690619517,1,0
2025-05-09,58.9700012207031,59.171667747439884,0,0
2025-05-12,66.1100006103516,59.30794181832562,1,0
2025-05-13,69.1399993896484,63.84974910009997,0,0
2025-05-14,70.3600006103516,68.21594033810256,0,0
2025-05-15,70.5800018310547,69.91644972155116,0,0
2025-05-16,71.4499969482422,70.603210846697,1,0
